																											Class	8	8	0422_D8	0422_D8	0422_bk	0422_bk	1	1	0412_D8	0412_D8	0412_bk	0412_bk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																											File type	Sample	Sample	Sample	Sample	Blank	Blank	Sample	Sample	Sample	Sample	Blank	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																											Injection order	39	40	41	42	43	44	57	58	59	60	61	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																											Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Average	Average	Average	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average RI	Quant mass	Metabolite name	Fill %	Reference RT	Reference RI	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT/RI matched	EI-MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Total score	RT similarity	RI similarity	Total spectrum similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	EI spectrum	20240422_RB017-2	20240422_RB017-1	20240422_D8-2	20240422_D8-1	20240422_BK-2	20240422_BK-1	20240412_RB002-2	20240412_RB002-1	20240412_D8-2	20240412_D8-1	20240412_BK-2	20240412_BK-1	8	0422_D8	0422_bk	1	0412_D8	0412_bk	8	0422_D8	0422_bk	1	0412_D8	0412_bk
0	6.572	909.62	78.9	Unknown	0.016	null	null	null	null	null	null	4	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	13.98	20240422_RB020-2	50:28 51:69 52.1:9 52.9:9 55:81 57.9:9 59.7:4 60.7:11 65:16 66:50 67.1:109 67.9:13 71.2:32 71.8:2 74.2:15 74.2:17 75.7:7 77:81 78.2:74 78.9:1229 80.2:30 80.9:412 81.9:0 82.9:30 83.9:20 85.9:133 87.9:77 88.8:2 91.1:97 91.9:83 93.1:71 95.1:20 96.1:9 105.1:22 105.7:13 106.8:24 107.9:0 108.9:100 110.8:13 113:4 114.9:22 115.8:5 117:30 117.7:8 118.9:22 119.9:24 121:1 126.2:5 133:22 134.10001:3 134.10001:4 136.10001:1 136.8:2 137.8:2 140.7:16 141.2:22 143:15 143.8:13 145.2:4 146.3:6 147.10001:21 148.89999:6 151.89999:11 154.2:0 155:10 156:0 156.8:3 158.8:1 163:3 163.89999:5 165.8:6 166.39999:7 168.89999:10 169.8:0 171.2:1 173.8:3 175.10001:17 178.2:3 181:5 187:4 190.10001:3 190.8:16 192.2:4 192.89999:1 196.7:8 199.89999:3 204.10001:0 213.89999:1 245.8:3 246.89999:3 253.10001:0 257.70001:6 258.89999:2 263.10001:2 267:5 270:5 280.60001:8 281.20001:4 283.79999:3 289.10001:6 297.10001:1 313.79999:3 318.10001:2 341.79999:1 342.79999:0	11957.85	12606.7	195.6142	461.7041	521.6564	195.2869	3619.698	2865.118	437.9692	272.9155	3360.304	1863.429	12282.27295	328.6591492	358.4716644	3242.407837	355.442337	2611.866333	458.8038872	188.1539761	230.778113	533.5685176	116.7105767	1058.450636
1	6.616	914.3	70.1	Unknown	0.016	null	null	null	null	null	null	4	FALSE	FALSE		FALSE	TRUE	null	null	100	85.4	null	null	null	357.22	20240412_D8-2	50.7:102 51.9:37 52.9:432 53.7:85 55:3735 56:651 57.1:6575 58:265 61.1:3 63:16 63.9:8 64.9:68 65.7:1 66.7:78 67.2:136 69:644 70.1:13560 71.1:7448 72.1:387 76.8:25 77.6:49 78.2:38 79:40 81.7:5 82.9:36 83.8:104 85:277 85.8:42 86.7:1 87.5:9 90.8:9 92:45 95:5 96:21 96.9:97 98:506 99.1:1314 100.2:78 105.1:33 106.7:1 110.8:6 111.8:231 113:692 114:78 123.9:3 125.6:3 128.8:0 130.89999:8 134.7:31 136.8:9 138.5:12 142.10001:252 143.39999:14 148.5:10 148.5:10 152.5:4 155.89999:0 158.3:1 164.7:9 165.89999:8 178.3:5 178.3:8 189.3:0 193:133 193.60001:16 194.8:19 196.7:3 202.60001:0 208.10001:4 208.8:32 211:9 220.10001:13 220.89999:4 224.7:8 239.2:3 250.60001:0 252.39999:7 270.39999:4 281.89999:5 295.79999:7 313.20001:0 326.89999:8 346:8 354.89999:3 385.20001:8 400.70001:1 437.29999:9 520.5:4 673.79999:10	213.4238	318.0787	312.6268	340.3511	400.169	260.8304	270.5296	540.1438	122550.2	3848.233	233.3298	135.4836	265.7512589	326.4889832	330.4997253	405.3366852	63199.21802	184.4066544	74.00218379	19.6040435	98.52724208	190.6460484	83934.96808	69.18771625
2	6.617	914.47	192.9	Unknown	0.065	null	null	null	null	null	null	4	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	39.66	20240424_D8-2	51.1:15 53:3 54:4 55.9:13 57.1:57 59.7:15 61.6:2 62.8:9 62.8:3 65.9:5 68.8:31 70.9:16 74:5 74.9:53 76.1:8 76.9:2 78.9:1 81.2:7 82.1:20 83.7:1 87.8:17 89:34 93:21 95.7:7 96.8:240 97.9:65 102.9:40 105:41 106:33 106.7:3 114.9:8 115.4:17 117.2:10 118.8:35 119.6:6 121:17 122.2:7 124.7:3 128.10001:2 132.8:1 133.8:21 134.8:155 135.89999:21 136.7:7 143.10001:0 145.2:8 146.10001:5 147:19 148.2:8 149:59 149.60001:3 153.7:8 156.5:1 158.39999:3 163:41 164:6 164.89999:92 165.60001:5 165.60001:8 175.7:1 176.89999:4 178.10001:4 178.89999:130 180.2:55 180.8:12 185:0 186:1 189.8:2 192.89999:1905 193.8:355 194.7:238 195.89999:34 196.89999:15 197.8:6 200.5:3 202.5:1 202.5:4 206.89999:28 209:923 209.89999:218 210.8:127 219.8:1 238.8:2 239.60001:5 249.89999:4 265.20001:4 278.70001:1 282.10001:2 298.60001:3 300.70001:1 326.89999:2 340.79999:1	813.1146	593.6848	4842.717	6266.245	2934.739	1481.251	1270.65	793.6517	786.1836	945.7238	1140.47	1031.291	703.3996887	5554.480713	2207.994873	1032.150696	865.9537048	1085.880737	155.1603495	1006.586183	1027.771075	337.2884672	112.811973	77.2011795
3	7.211	968.99	281	Unknown	0.129	null	null	null	null	null	null	4	FALSE	FALSE		FALSE	TRUE	null	null	100	95.5	null	null	null	23.09	20240424_RB032-2	50.9:32 52:42 53:7 55.9:0 57:141 58:16 58.8:23 60.9:16 65:31 66.9:25 69.1:3 69.9:39 72.1:2 72.9:123 73.8:20 74.9:2 76.8:37 80:23 81.8:19 85:4 86.9:21 88:11 89:21 90.8:24 92.9:12 96:8 97.9:25 98.8:1 102:19 102.9:33 103.9:20 105:1 105.9:2 107:8 111:3 112.1:6 112.8:8 113.3:5 114.7:35 115.9:3 116.9:4 118:34 119:32 121.1:11 124.9:93 125.9:24 126.7:4 128.8:46 130.10001:6 132.89999:212 134.2:58 134.89999:6 136.39999:1 138:6 141.10001:17 146.3:1 146.89999:7 148.10001:6 148.10001:12 151.10001:7 153.10001:1 155.8:12 156.7:4 158.60001:3 159.10001:4 162.5:8 163.10001:40 164.8:54 166.2:4 170.5:2 174.89999:5 175.8:4 177:89 178.8:47 183.8:0 187.2:2 188.8:12 190:4 191.10001:172 192.10001:30 192.8:147 194.2:6 202:5 202.89999:21 203.7:5 205:48 206.8:50 208.2:20 209.3:8 210.3:3 214.89999:6 215.7:8 218.2:3 221:6 224.8:1 232.60001:8 234.5:8 236:3 242.10001:0 244.89999:4 248.60001:129 249.10001:163 249.7:31 250.89999:75 251.60001:13 252.2:10 265.10001:209 265.89999:67 266.5:25 267.10001:32 267.60001:18 279.60001:3 281:2415 282:675 283:390 283.79999:85 284.89999:39 295.10001:1 326.10001:6 342:3	4613.369	12375.13	3352.773	3238.54	4379.07	2813.017	1752.183	1719.704	7000.581	11192.65	1532.825	2406.732	8494.247803	3295.656616	3596.043457	1735.943604	9096.617676	1969.778625	5488.391928	80.77469277	1107.366508	22.96664181	2964.243417	617.945985
4	7.426	988.44	81	Unknown	0.016	null	null	null	null	null	null	4	FALSE	FALSE		FALSE	TRUE	null	null	100	84	null	null	null	10.98	20240422_RB018-1	50.9:1 52:18 52.9:260 54:67 54.9:70 56:150 57.1:289 57.9:60 59.2:13 62.2:12 62.2:6 62.9:20 64.1:6 65:11 66.1:17 66.9:74 67.9:65 69:36 70:79 72:5 73.8:3 74.9:5 78.8:47 80:9 81:1884 82:407 83:81 84.9:16 85.9:45 89:32 90.9:48 92.1:13 94:129 94.9:31 96:31 97.1:58 98:0 101.9:2 103:21 105:14 106:23 106.9:25 108.9:40 110.3:1 111.8:28 114.1:5 115.8:10 118.7:3 123.1:6 124.5:13 127.9:16 128.8:2 130:1 130.8:9 131.8:4 135.7:14 138:322 139:14 140.60001:11 145:1 146.8:2 149.7:17 150.60001:6 153:6 154.10001:18 161:7 164:1 165:6 166.39999:1 167:1 173.3:7 173.89999:4 175.8:5 177.8:14 177.8:12 179.10001:2 181.3:8 190:6 191.10001:2 191.89999:4 194.3:5 197:1 201.89999:3 205:2 207:16 209.8:11 215.8:4 220.89999:3 227.7:2 229.10001:0 231.2:0 232.10001:3 238.5:3 241.2:2 248.89999:1 264.79999:2 267.10001:12 267.89999:1 276.10001:1 288.89999:1 292.10001:2 294.20001:2 294.20001:1 321.79999:1 346.10001:1	5402.957	7613.8	389.7974	320.4815	4048.336	3481.875	3589.698	3657.508	149.4102	98.68281	539.9893	245.7476	6508.378418	355.1394348	3765.105591	3623.603149	124.0465126	392.8684387	1563.301917	49.01371248	400.5481976	47.94877963	35.86969515	208.0602577
5	8.12	1034.33	206.9	Unknown	0.113	null	null	null	null	null	null	4	FALSE	FALSE		FALSE	TRUE	null	null	null	86.1	null	null	null	13.69	20240422_BK-1	52.2:20 52.9:46 59.1:38 59.9:4 61.1:37 62.4:7 63.9:1 67.8:23 67.8:24 70.4:10 72.9:25 73.7:11 75.1:113 75.1:114 75.9:22 76.9:26 77.8:3 79.8:2 80.9:2 82:13 83.1:1 83.7:2 86.1:18 86.1:11 88:8 89:68 90.9:22 92.6:51 97:73 99.7:3 101.3:4 101.3:9 102.9:44 103.9:31 104.9:39 107.7:7 109.4:2 111.8:11 113:21 115:27 117.9:6 119:90 121.2:8 122.1:8 126.7:14 127.3:4 128:1 130.8:16 132.8:139 133.8:28 134.8:93 136.10001:16 136.7:4 137.89999:10 141.10001:13 145.3:1 148.8:7 149.8:2 150.8:7 161:2 162.5:10 165.10001:38 170.39999:2 176.3:5 177:78 178.10001:19 185:3 190:1 191:139 191.89999:22 192.89999:295 194.10001:53 196.89999:17 206.89999:1922 208:349 208.89999:299 209.89999:33 212:4 216.5:2 216.5:3 218.3:1 218.3:7 223:450 224.10001:52 225.10001:45 226.2:3 228:2 238.8:16 248.8:1 251:8 261.89999:2 273.89999:2 280.60001:26 282.20001:3 282.20001:11 284:3 307.89999:2 324.10001:1 340.79999:11	719.1544	228.0159	4822.214	4430.267	7944.874	8873.505	275.7201	568.4568	938.2321	2476.751	662.3849	474.0853	473.5851288	4626.240234	8409.189453	422.0884857	1707.491791	568.2350769	347.2873343	277.1485694	656.6411779	206.9961232	1087.897464	133.1479393
