编号	化合物	一维保留时间(min)	二维保留时间(s)	峰面积	峰高	百分比%	半峰宽(ms)	CAS	化学式	正向匹配度	反向匹配度	可能性	RI	NIST RI	MW	重名
7		2.4484	0.712	2906.689	81617.136	0.485	156	0-0-0		0	0	0	-		0	
56		3.315	0.722	1160.585	97251.122	0.193	128	0-0-0		0	0	0	-		0	
99	Hexane, 2,3,5-trimethyl-	6.7816	1.12	119631.631	2361571.599	19.941	337	1069-53-0	C9H20	876	881	25.66	823	812-S	128	
107		8.0484	1.112	37141.089	1765927.687	6.191	195	0-0-0		0	0	0	866		0	
108	o-Xylene	8.1815	1.775	2329.891	92012.499	0.388	190	95-47-6	C8H10	913	933	37.27	871	888-S	106	
120		9.3817	1.519	556.194	41531.048	0.093	152	0-0-0		0	0	0	913		0	
130		10.5151	1.121	339.111	51970.871	0.057	116	0-0-0		0	0	0	958		0	
133		10.6482	1.094	540.58	68356.411	0.09	163	0-0-0		0	0	0	963		0	
135		10.915	1.734	7383.567	686938.029	1.231	173	0-0-0		0	0	0	974		0	
140	Nonane, 2-methyl-	10.9815	1.039	1651.428	244820.856	0.275	120	871-83-0	C10H22	829	852	6.62	976	-	142	
145		11.1818	1.81	18421.58	1786137.209	3.071	188	0-0-0		0	0	0	985		0	
148	1-Hexene, 3,5,5-trimethyl-	11.6481	1.071	2655.287	396546.153	0.443	-	4316-65-8	C9H18	658	804	5.34	1003	-	126	
152	Butanoic acid, butyl ester	11.5151	1.437	736.489	169893.178	0.123	110	109-21-7	C8H16O2	828	879	59.67	998	995-S	144	
153		11.6481	0.903	3158.463	519351.35	0.526	-	0-0-0		0	0	0	1003		0	
158	Undecane	12.0483	1.032	2646.462	440970.604	0.441	95	1120-21-4	C11H24	845	847	5.62	1021	-	156	
160		12.3817	1.826	5904.682	267473.579	0.984	110	0-0-0		0	0	0	1037		0	
164	1-Hexanol, 2-ethyl-	12.3148	1.4	963.837	117358.446	0.161	113	104-76-7	C8H18O	757	837	13.61	1034	1030-S	130	
171		12.8484	0.989	47512.584	2610178.552	7.92	157	0-0-0		0	0	0	1058		0	
182		13.1148	2.302	268.162	43756.018	0.045	134	0-0-0		0	0	0	1071		0	
185		13.2482	1.013	1436.64	390639.493	0.239	146	0-0-0		0	0	0	1076		0	
190		13.3816	2.092	242.896	45366.269	0.04	144	0-0-0		0	0	0	1083		0	
197	Nonanal	13.9149	1.461	1741.57	553933.774	0.29	88	124-19-6	C9H18O	828	839	40.99	1107	1104-S	142	
198	2,5-Furandione, 3-(1,1-dimethylethyl)-	13.8484	1.949	326.063	64378.445	0.054	125	18261-07-9	C8H10O3	832	842	79.55	1104	-	154	
199		13.8484	1.015	20673.867	2343393.433	3.446	181	0-0-0		0	0	0	1103		0	
208		14.515	1.032	871.961	177162.046	0.145	80	0-0-0		0	0	0	1137		0	
212		14.5815	1.302	181.425	49118.549	0.03	-	0-0-0		0	0	0	1140		0	
224		14.8483	1.632	657.382	139487.239	0.11	134	0-0-0		0	0	0	1154		0	
227		14.9149	1.333	703.82	150379.901	0.117	128	0-0-0		0	0	0	1157		0	
228		14.9149	0.846	690.387	345168.744	0.115	116	0-0-0		0	0	0	1156		0	
229		14.9149	1.022	719.033	247583.714	0.12	112	0-0-0		0	0	0	1157		0	
232	Benzoic acid	15.1148	1.942	4063.446	777570.539	0.677	106	65-85-0	C7H6O2	926	926	32.85	1167	1177-S	122	
237	Undecane, 3-methyl-	15.1817	1.039	386.727	73576.865	0.064	72	1002-43-3	C12H26	837	876	11.67	1170	1170-S	170	
247	5-Dodecene, (Z)-	15.5815	1.099	995.904	373712.871	0.166	61	7206-28-2	C12H24	890	893	5.28	1190	-	168	
248	Naphthalene	15.515	2.202	389.654	113534.831	0.065	111	91-20-3	C10H8	880	899	39.89	1188	1182-S	128	
251		15.5815	1.741	183.996	22838.497	0.031	121	0-0-0		0	0	0	1191		0	
254	Dodecane	15.7814	1.032	2419.376	1100353.81	0.403	75	112-40-3	C12H26	862	863	4.37	1200	-	170	
256	Decanal	15.9148	1.423	495.722	174401.334	0.083	75	112-31-2	C10H20O	835	844	7.95	1208	1206-S	156	
260	Dodecane	16.0482	0.999	771.221	308520.115	0.129	77	112-40-3	C12H26	865	870	4.51	1215	-	170	
268		16.3816	1.048	1436.77	454720.891	0.239	75	0-0-0		0	0	0	1233		0	
269	4,5-Dipropenyldihydro-furan-2-one	16.2482	1.346	705.059	365936.976	0.118	85	0-0-0	C10H14O2	620	637	6.32	1226	-	166	
274	Benzothiazole	16.315	2.627	114.783	35299.455	0.019	121	95-16-9	C7H5NS	851	895	66.05	1231	1228-S	135	
281	Tridecane	16.6484	1.007	1964.484	550632.793	0.327	70	629-50-5	C13H28	861	877	5.64	1248	-	184	
289	Tridecane	16.8483	1.011	1363.418	344794.76	0.227	70	629-50-5	C13H28	845	864	5.04	1259	-	184	
294	Nonanoic acid	16.9817	1.394	227.468	66977.93	0.038	102	112-05-0	C9H18O2	705	855	60.25	1267	1273-S	158	
308	Phenol, m-tert-butyl-	17.5149	1.86	191.634	43242.453	0.032	118	585-34-2	C10H14O	827	855	33.23	1297	1296-S	150	
312		17.5149	1.581	218.031	97688.07	0.036	121	0-0-0		0	0	0	1297		0	
314		17.5815	2.121	89.008	33047.347	0.015	100	0-0-0		0	0	0	1301		0	
315	Isomaltol	17.6483	2.525	574.538	210556.361	0.096	129	3420-59-5	C6H6O3	738	865	23.7	1305	-	126	
319	Dodecanal	17.7149	1.405	157.4	66922.977	0.026	77	112-54-9	C12H24O	824	848	8.8	1308	-	184	
324		17.8483	1.651	223.875	93983.506	0.037	113	0-0-0		0	0	0	1316		0	
331		18.0482	0.798	106.771	61888.149	0.018	-	0-0-0		0	0	0	1327		0	
340		18.3815	1.634	165.761	42643.659	0.028	114	0-0-0		0	0	0	1347		0	
341	Glycerol 1,2-diacetate	18.4484	1.969	1372.247	444305.034	0.229	113	102-62-5	C7H12O5	843	846	37.89	1351	-	176	
342		18.5149	1.016	2508.861	1203737.204	0.418	77	0-0-0		0	0	0	1354		0	
347		18.8482	1.035	1977.388	314414.865	0.33	65	0-0-0		0	0	0	1373		0	
345		18.5814	1.501	157.966	42235.924	0.026	144	0-0-0		0	0	0	1358		0	
355	Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester	18.9148	1.547	192.418	80353.357	0.032	94	77-68-9	C12H24O3	843	859	83.11	1377	-	216	
364	5-Tetradecene, (E)-	19.115	1.096	798.347	340069.054	0.133	59	41446-66-6	C14H28	845	861	3.96	1388	-	196	
366	Chloroxylenol	19.0482	2.109	96.378	16358.967	0.016	147	88-04-0	C8H9ClO	765	793	52	1386	1394-S	156	
372	Tetradecane	19.2484	1.045	1484.699	946715.779	0.247	63	629-59-4	C14H30	886	894	13.32	1396	1400-A	198	
377	Dodecanal	19.4484	1.377	830.656	362025.214	0.138	73	112-54-9	C12H24O	880	892	16.55	1409	1409-S	184	
381	Tetradecane	19.4484	1.025	217.517	73079.658	0.036	64	629-59-4	C14H30	826	880	6.23	1409	1400-A	198	
386	Heptadecane, 2,6-dimethyl-	19.5818	0.988	717.498	301393.806	0.12	66	54105-67-8	C19H40	846	849	3.42	1417	-	268	
395		19.8482	0.996	469.512	116614.25	0.078	80	0-0-0		0	0	0	1435		0	
405		20.115	1.017	1110.551	299947.867	0.185	79	0-0-0		0	0	0	1452		0	
415		20.3149	1.01	1160.892	368411.244	0.194	63	0-0-0		0	0	0	1465		0	
420	5-Dodecene, (E)-	20.4483	1.345	309.22	114488.774	0.052	-	7206-16-8	C12H24	767	832	3.05	1474	-	168	
425		20.5817	1.003	1022.073	182976.993	0.17	82	0-0-0		0	0	0	1483		0	
429		20.7148	1.462	5891.713	2210633.808	0.982	135	0-0-0		0	0	0	1492		0	
431		20.7817	0.99	26926.945	2216905.132	4.488	133	0-0-0		0	0	0	1496		0	
440		21.0481	1.891	226.057	144694.239	0.038	-	0-0-0		0	0	0	1514		0	
442	2,4-Di-tert-butylphenol	21.0481	1.644	5661.513	1205650.294	0.944	112	96-76-4	C14H22O	905	906	50.69	1514	1514-S	206	
444	Decane, 2-methyl-	21.3149	0.986	9456.507	1663603.129	1.576	78	6975-98-0	C11H24	843	862	5.89	1530	-	156	
452	Undecane	21.5148	1.004	8367.469	1834724.556	1.395	124	1120-21-4	C11H24	828	837	3.44	1543	-	156	
456	Tridecane	21.6482	1	3661.211	1587339.674	0.61	93	629-50-5	C13H28	833	850	3.69	1552	-	184	
461	Pentadecane	21.7816	1.002	3197.54	1394405.088	0.533	78	629-62-9	C15H32	866	867	6	1561	-	212	
458		21.7816	1.553	411.144	133284.467	0.069	96	0-0-0		0	0	0	1561		0	
464	Undecane, 3,8-dimethyl-	21.9816	1	5138.838	1219659.105	0.857	74	17301-30-3	C13H28	841	859	4.25	1574	-	184	
470	Hexadecane	22.115	0.997	2302.58	1174758.919	0.384	70	544-76-3	C16H34	877	886	13.29	1583	1600-A	226	
472	Hexadecane	22.3149	1.063	2025.293	311327.934	0.338	83	544-76-3	C16H34	892	903	16.11	1596	1600-A	226	
476		22.3818	1.4	148.543	44302.515	0.025	130	0-0-0		0	0	0	1600		0	
486	Eicosane, 7-hexyl-	22.8481	1.016	377.822	87092.478	0.063	101	55333-99-8	C26H54	834	834	5.93	1633	-	366	
499		23.3149	1.05	534.919	95627.926	0.089	91	0-0-0		0	0	0	1667		0	
503		23.4483	1.359	173.083	36828.232	0.029	113	0-0-0		0	0	0	1677		0	
505		23.5148	1.03	499.797	94312.836	0.083	90	0-0-0		0	0	0	1681		0	
506		23.4483	1.872	174.194	42488.819	0.029	122	0-0-0		0	0	0	1677		0	
509	Heptadecane	23.7816	1.073	863.835	91691.45	0.144	95	629-78-7	C17H36	857	876	8.08	1700	1700-A	240	
512		23.915	0.997	14491.067	2010658.564	2.415	123	0-0-0		0	0	0	1709		0	
516	1H-Indene, 2,3-dihydro-1,1,3-trimethyl-3-phenyl-	24.1814	1.97	463.9	196484.843	0.077	111	3910-35-8	C18H20	873	882	77.04	1730	1714-S	236	
517	Undecane, 3,8-dimethyl-	24.5148	1.03	10237.615	1800193.406	1.706	111	17301-30-3	C13H28	841	852	4.56	1752	-	184	
533	2,4-Diphenyl-4-methyl-1-pentene	25.1149	2.086	275.098	80350.13	0.046	117	0-0-0	C18H20	845	865	42.23	1796	-	236	
534		25.2483	1.033	828.669	162710.215	0.138	109	0-0-0		0	0	0	1805		0	
536	Eicosane, 2-methyl-	25.3817	1.027	1045.679	104641.941	0.174	112	1560-84-5	C21H44	836	847	8.31	1816	-	296	
549		25.9815	1.894	62.716	24151.047	0.01	119	0-0-0		0	0	0	1864		0	
550		26.1149	2.055	276.918	27061.518	0.046	233	0-0-0		0	0	0	1875		0	
558	Undecane, 3,8-dimethyl-	26.7815	1.027	9231.139	1803885.988	1.539	103	17301-30-3	C13H28	836	856	6.3	1926	-	184	
559	7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione	26.7815	1.997	1505.667	315958.516	0.251	153	82304-66-3	C17H24O3	853	876	90.15	1927	-	276	
566	Nonadecane, 2-methyl-	27.2482	1.054	5146.641	679646.538	0.858	109	1560-86-7	C20H42	862	881	12.86	1963	-	282	
597	Eicosane, 2-methyl-	29.3151	1.038	1412.711	228482.397	0.235	248	1560-84-5	C21H44	832	843	9.63	2141	-	296	

